bouquin bouquine
bour bouse
bourbeux bourbeuse
bourbonien bourbonienne
bourdon bourdonne
bourdonnant bourdonnante
bourgeois bourgeoise
bourgeon bourgeonne
bourgeonnant bourgeonnante
bourgeonner bourgeonneuse
bourguignon bourguignonne
bourlingueur bourlingueuse
bourratif bourrative
bourrelé bourrelée
bourrin bourrine
bourru bourrue
bourré bourrée
boursier boursière
boursouflé boursouflée
bous bouse
bousculé bousculée
bouseux bouseuse
bousillé bousillée
bousin bousine
bout boute
boutiquier boutiquière
bouton boutonne
boutonner boutonneuse
boutonneux boutonneuse
boutonné boutonnée
bouté boutée
bovin bovine
boxer boxeuse
boxeur boxeuse
boycott boycotte
brabançon brabançonne
brachial brachiale
braconnier braconnière
bradé bradée
brai braie
braillard braillarde
brailler brailleuse
brailleur brailleuse
braillé braillée
brais braise
braisillant braisillante
braisé braisée
branche branchette
branchu branchue
branché branchée
brand brande
brandi brandie
brandis brandisse
branlant branlante
branle branlette
branler branleuse
branleur branleuse
branlé branlée
braquer braqueuse
braqueur braqueuse
braqué braquée
bras brasse
brassé brassée
bravé bravée
bredouillant bredouillante
bressan bressane
brestois brestoise
breton bretonne
breveté brevetée
briard briarde
bricoler bricoleuse
bricoleur bricoleuse
bricolé bricolée
bridger bridgeuse
bridé bridée
briefé briefée
brigand brigande
brigantin brigantine
brillant brillante
brimé brimée
bringuebalant bringuebalante
brioché briochée
brique briquette
briquet briquette
briqué briquée
bris brise
brisant brisante
briser briseuse
briseur briseuse
brisé brisée
brivadois brivadoise
broc broque
brocanteur brocanteuse
brocard brocarde
broche brochette
brochet brochette
broché brochée
broder brodeuse
brodé brodée
bronzant bronzante
bronze bronzette
bronzeur bronzeuse
bronzé bronzée
brossé brossée
brouet brouette
brouillardeux brouillardeuse
brouillon brouillonne
brouillé brouillée
broussailleux broussailleuse
brout broute
brouter brouteuse
brouteur brouteuse
brouté broutée
broyer broyeuse
broyeur broyeuse
broyé broyée
brugeois brugeoise
bruissant bruissante
bruiter bruiteuse
bruiteur bruiteuse
brumeux brumeuse
brun brune
brune brunette
brunet brunette
bruni brunie
brusque brusquette
brusqué brusquée
brut brute
brutal brutale
brutalisé brutalisée
bruxellois bruxelloise
bruyant bruyante
brésilien brésilienne
brûlant brûlante
brûler brûleuse
brûleur brûleuse
brûlé brûlée
buandier buandière
buccal buccale
buisson buissonne
buissonner buissonneuse
buissonneux buissonneuse
bulbeux bulbeuse
bull bulle
bure burette
buriné burinée
buteur buteuse
butin butine
butiner butineuse
butineur butineuse
buté butée
buvard buvarde
buveur buveuse
byzantin byzantine
bâché bâchée
bâclé bâclée
bâillant bâillante
bâillon bâillonne
bâillonné bâillonnée
bâtard bâtarde
bâti bâtie
bâtis bâtisse
bâtisseur bâtisseuse
béa béate
béant béante
béarnais béarnaise
béat béate
béatifié béatifiée
bécot bécote
bécoté bécotée
bédouin bédouine
bégayant bégayante
béguin béguine
bénard bénarde
béni bénite
bénin bénigne
bénis bénisse
bénisseur bénisseuse
bénit bénite
bénédictin bénédictine
béotien béotienne
bétonner bétonneuse
bétonné bétonnée
béé béée
bêcher bêcheuse
bêcheur bêcheuse
bêtas bêtasse
bûche bûchette
bûcher bûcheuse
bûcheron bûcheronne
bûcheur bûcheuse
caban cabane
cabanon cabane
cabaretier cabaretière
cabochard cabocharde
cabossé cabossée
cabot cabote
cabotin cabotine
cabre cabrette
cabré cabrée
cache cachette
cacher cachère
cachet cachette
cacheton cachetonne
cacheté cachetée
cachottier cachottière
caché cachée
cadastral cadastrale
cadastré cadastrée
cadavéreux cadavéreuse
cade cadette
cadenas cadenasse
cadenassé cadenassée
cadencé cadencée
cadet cadette
cadré cadrée
cafard cafarde
cafarder cafardeuse
cafardeur cafardeuse
cafardeux cafardeuse
cafetier cafetière
cafouiller cafouilleuse
cafouilleux cafouilleuse
cafter cafteuse
cafteur cafteuse
cage cagette
cagnard cagne
cagneux cagneuse
cagot cagote
cahot cahote
cahotant cahotante
cahoter cahoteuse
cahoteux cahoteuse
cahoté cahotée
caille caillette
caillouteux caillouteuse
caillé caillée
caisse caissette
caissier caissière
cajoler cajoleuse
cajoleur cajoleuse
cajolé cajolée
calamistré calamistrée
calamiteux calamiteuse
