Word (M/F)                                 POS            LEMMA                    TAG       DEPENDENCY
criminel, criminelle	                    ADJ	       criminel	                 ADJ	       ROOT
critiqueur, critiqueuse	                 NOUN	      critiqueur	               NOUN	      ROOT
croyant, croyante	                       VERB	      croire	                   VERB	      ROOT
cueilleur, cueilleuse	                   NOUN	      cueilleur	                NOUN	      ROOT
cuisinier, cuisinière	                   VERB	      cuisinier	                VERB	      ROOT
cultivateur, cultivatrice	               NOUN	      cultivateur	              NOUN	      ROOT
curieux, curieuse	                       ADJ	       curieux	                  ADJ	       ROOT
damné, damnée	                           VERB	      damner	                   VERB	      ROOT
danseur, danseuse	                       NOUN	      danseur	                  NOUN	      ROOT
daron, daronne	                          ADV	       daron	                    ADV	       ROOT
débitant, débitante	                     VERB	      débiter	                  VERB	      ROOT
débiteur, débitrice	                     NOUN	      débiteur	                 NOUN	      ROOT
débrouillard, débrouillarde	             NOUN	      débrouillard	             NOUN	      ROOT
débutant, débutante	                     VERB	      débuter	                  VERB	      ROOT
déclarant, déclarante	                   VERB	      déclarer	                 VERB	      ROOT
décorateur, décoratrice	                 ADJ	       décorateur	               ADJ	       ROOT
découpeur, découpeuse	                   NOUN	      découpeur	                NOUN	      ROOT
défenseur, défenseuse	                   NOUN	      défenseur	                NOUN	      ROOT
défunt, défunte	                         PRON	      défunt	                   PRON	      ROOT
délinquant, délinquante	                 VERB	      délinquer	                VERB	      ROOT
demandeur, demanderesse	                 NOUN	      demandeur	                NOUN	      ROOT
demandeur, demandeuse	                   NOUN	      demandeur	                NOUN	      ROOT
démolisseur, démolisseuse	               NOUN	      démolisseur	              NOUN	      ROOT
démonteur, démonteuse	                   NOUN	      démonteur	                NOUN	      ROOT
dénonciateur, dénonciatrice	             NOUN	      dénonciateur	             NOUN	      ROOT
dépanneur, dépanneuse	                   NOUN	      dépanneur	                NOUN	      ROOT
député, députée	                         NOUN	      député	                   NOUN	      ROOT
descripteur, descriptrice	               NOUN	      descripteur	              NOUN	      ROOT
dessinateur, dessinatrice	               NOUN	      dessinateur	              NOUN	      ROOT
destinateur, destinatrice	               NOUN	      destinateur	              NOUN	      ROOT
destructeur, destructrice	               NOUN	      destructeur	              NOUN	      ROOT
détenteur, détentrice	                   NOUN	      détenteur	                NOUN	      ROOT
développeur, développeuse	               ADJ	       développeur	              ADJ	       ROOT
dévoreur, dévoreuse	                     NOUN	      dévoreur	                 NOUN	      ROOT
diable, diablesse	                       NOUN	      diable	                   NOUN	      ROOT
diagnosticien, diagnosticienne	          ADJ	       diagnosticien	            ADJ	       ROOT
diagnostiqueur, diagnostiqueuse	         NOUN	      diagnostiqueur	           NOUN	      ROOT
dictateur, dictatrice	                   ADP	       dictateur	                ADP	       ROOT
dieu, déesse	                            NOUN	      dieu	                     NOUN	      ROOT
dîneur, dîneuse	                         NOUN	      dîneur	                   NOUN	      ROOT
diplômé, diplômée	                       VERB	      diplômer	                 VERB	      ROOT
directeur, directrice	                   NOUN	      directeur	                NOUN	      ROOT
dirigeant, dirigeante	                   NOUN	      dirigeant	                NOUN	      ROOT
distrait, distraite	                     VERB	      distraire	                VERB	      ROOT
distributeur, distributrice	             NOUN	      distributeur	             NOUN	      ROOT
divorcé, divorcée	                       NOUN	      divorcé	                  NOUN	      ROOT
docteur, docteure	                       NOUN	      docteur	                  NOUN	      ROOT
docteur, doctoresse	                     NOUN	      docteur	                  NOUN	      ROOT
doctorant, doctorante	                   VERB	      doctorer	                 VERB	      ROOT
dominateur, dominatrice	                 NOUN	      dominateur	               NOUN	      ROOT
donateur, donatrice	                     ADJ	       donateur	                 ADJ	       ROOT
donneur, donneuse	                       NOUN	      donneur	                  NOUN	      ROOT
dormeur, dormeuse	                       ADJ	       dormeur	                  ADJ	       ROOT
douanier, douanière	                     ADJ	       douanier	                 ADJ	       ROOT
dresseur, dresseuse	                     NOUN	      dresseur	                 NOUN	      ROOT
drogué, droguée	                         VERB	      droguer	                  VERB	      ROOT
droitier, droitière	                     VERB	      droitier	                 VERB	      ROOT
écolier, écolière	                       NOUN	      écolier	                  NOUN	      ROOT
écrivain, écrivaine	                     PROPN	     écrivain	                 PROPN	     ROOT
écuyer, écuyère	                         VERB	      écuyer	                   VERB	      ROOT
éducateur, éducatrice	                   NOUN	      éducateur	                NOUN	      ROOT
égal, égale	                             ADJ	       égal	                     ADJ	       ROOT
électeur, électrice	                     ADV	       électeur	                 ADV	       ROOT
électricien, électricienne	              NOUN	      électricien	              NOUN	      ROOT
électronicien, électronicienne	          NOUN	      électronicien	            NOUN	      ROOT
éléphant, éléphante	                     VERB	      élépher	                  VERB	      ROOT
éleveur, éleveuse	                       NOUN	      éleveur	                  NOUN	      ROOT
élu, élue	                               NOUN	      élu	                      NOUN	      ROOT
émetteur, émettrice	                     NOUN	      émetteur	                 NOUN	      ROOT
émigrant, émigrante	                     ADV	       émigrant	                 ADV	       ROOT
émigré, émigrée	                         ADV	       émigré	                   ADV	       ROOT
emmerdeur, emmerdeuse	                   ADJ	       emmerdeur	                ADJ	       ROOT
empereur, impératrice	                   NOUN	      empereur	                 NOUN	      ROOT
employé, employée	                       VERB	      employer	                 VERB	      ROOT
employeur, employeuse	                   NOUN	      employeur	                NOUN	      ROOT
empoisonneur, empoisonneuse	             VERB	      empoisonneur	             VERB	      ROOT
empoté, empotée	                         VERB	      empoter	                  VERB	      ROOT
emprunteur, emprunteuse	                 NOUN	      emprunteur	               NOUN	      ROOT
encadreur, encadreuse	                   NOUN	      encadreur	                NOUN	      ROOT
enculeur, enculeuse	                     NOUN	      enculeur	                 NOUN	      ROOT
engagé, engagée	                         VERB	      engager	                  VERB	      ROOT
enjôleur, enjôleuse	                     NOUN	      enjôleur	                 NOUN	      ROOT
ennemi, ennemie	                         NOUN	      ennemi	                   NOUN	      ROOT
enquêteur, enquêteuse	                   NOUN	      enquêteur	                NOUN	      ROOT
enquêteur, enquêtrice	                   NOUN	      enquêteur	                NOUN	      ROOT
enseignant, enseignante	                 VERB	      enseigner	                VERB	      ROOT
entêté, entêtée	                         ADV	       entêté	                   ADV	       ROOT
entraîneur, entraîneuse	                 NOUN	      entraîneur	               NOUN	      ROOT
entrepreneur, entrepreneuse	             NOUN	      entrepreneur	             NOUN	      ROOT
envahisseur, envahisseuse	               NOUN	      envahisseur	              NOUN	      ROOT
